Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
bolha_v1_10_10000.csv;97,97;3070,997;7,997;3087,411258;3078,9939999999997
bolha_v1_1_10000.csv;96,12;3089,553;3,996;3104,29817;3093,549
bolha_v1_2_10000.csv;98,43;3073,786;7,994;3089,182292;3081,78
bolha_v1_3_10000.csv;98,38;3087,715;0,0;3096,276109;3087,715
bolha_v1_4_10000.csv;100,0;3081,968;8,005;3097,377393;3089,973
bolha_v1_5_10000.csv;94,6;2989,199;3,996;3002,586666;2993,195
bolha_v1_6_10000.csv;98,95;3078,266;12,008;3097,887227;3090,274
bolha_v1_7_10000.csv;97,21;2986,025;11,992;3007,546654;2998,0170000000003
bolha_v1_8_10000.csv;96,92;3079,764;7,999;3094,503707;3087,763
bolha_v1_9_10000.csv;102,3;3077,792;7,983;3092,60754;3085,775
