Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
bubble_v1_50000_1.csv;2407,7;77547,779;3,999;77571,075142;77551,77799999999
bubble_v1_50000_10.csv;2653,28;77744,374;4,0;77769,981769;77748,374
bubble_v1_50000_2.csv;2423,94;75544,305;0,0;75565,662607;75544,305
bubble_v1_50000_3.csv;2504,42;75469,77;12,0;75503,127255;75481,77
bubble_v1_50000_4.csv;2613,36;77523,866;7,999;77554,892281;77531,86499999999
bubble_v1_50000_5.csv;2647,44;77428,405;3,999;77454,344762;77432,404
bubble_v1_50000_6.csv;2603,95;75682,32;3,999;75708,498334;75686,319
bubble_v1_50000_7.csv;2659,08;77977,416;0,0;77999,400006;77977,416
bubble_v1_50000_8.csv;2612,95;75765,245;16,0;75831,408173;75781,245
bubble_v1_50000_9.csv;2664,98;77568,726;8,0;77617,967203;77576,726
