Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
bubble_v2_10_20000.csv;445,81;12605,617;4,003;12630,386941;12609,62
bubble_v2_1_20000.csv;440,12;12225,409;3,999;12255,521354;12229,408
bubble_v2_2_20000.csv;448,73;12575,108;3,999;12600,285347;12579,107
bubble_v2_3_20000.csv;449,89;12657,323;7,995;12688,501889;12665,318000000001
bubble_v2_4_20000.csv;440,24;12601,48;0,0;12622,426159;12601,48
bubble_v2_5_20000.csv;447,7;12263,557;0,0;12285,303747;12263,557
bubble_v2_6_20000.csv;438,17;12644,488;7,997;12678,299195;12652,484999999999
bubble_v2_7_20000.csv;435,18;12615,405;3,999;12646,610483;12619,404
bubble_v2_8_20000.csv;440,74;12682,931;8,004;12715,362097;12690,935000000001
bubble_v2_9_20000.csv;441,31;12657,179;8,003;12687,195306;12665,182
