Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
insertion_v2_50000_1.csv;24,78;815,537;3,997;838,992973;819,534
insertion_v2_50000_10.csv;24,97;812,39;4,021;835,194007;816,411
insertion_v2_50000_2.csv;24,78;804,5;12,067;834,711985;816,567
insertion_v2_50000_3.csv;24,1;813,146;3,986;836,916352;817,132
insertion_v2_50000_4.csv;24,46;818,056;3,99;840,375677;822,046
insertion_v2_50000_5.csv;24,36;814,3;7,983;841,202037;822,2829999999999
insertion_v2_50000_6.csv;24,67;812,677;3,983;836,122377;816,66
insertion_v2_50000_7.csv;24,73;809,254;12,018;839,188201;821,272
insertion_v2_50000_8.csv;24,42;825,959;4,009;848,117356;829,968
insertion_v2_50000_9.csv;24,78;815,211;7,992;842,541643;823,203
