Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
selection_v2_10000_1.csv;1,36;36,803;4,089;48,348722;40,891999999999996
selection_v2_10000_10.csv;0,95;47,374;0,0;53,729876;47,374
selection_v2_10000_2.csv;1,19;43,315;0,0;51,289208;43,315
selection_v2_10000_3.csv;1,08;45,07;0,0;52,187044;45,07
selection_v2_10000_4.csv;1,44;36,686;4,076;49,002352;40,762
selection_v2_10000_5.csv;1,21;39,476;4,386;50,800388;43,862
selection_v2_10000_6.csv;1,34;24,832;16,555;48,097764;41,387
selection_v2_10000_7.csv;1,21;36,181;8,04;50,476762;44,221
selection_v2_10000_8.csv;1,47;33,219;7,382;49,545583;40,601
selection_v2_10000_9.csv;1,48;38,034;3,803;48,87171;41,836999999999996
