Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
insertion_v1_10_50000.csv;1091,44;31400,659;12,0;31432,431038;31412,659
insertion_v1_1_50000.csv;1480,69;40171,205;12,002;40202,756389;40183,207
insertion_v1_2_50000.csv;1481,21;39905,8;3,999;39930,755524;39909,799000000006
insertion_v1_3_50000.csv;1126,26;31373,866;11,999;31414,371239;31385,865
insertion_v1_4_50000.csv;1500,42;39869,236;7,999;39899,232574;39877,235
insertion_v1_5_50000.csv;1496,45;39904,662;4,0;39936,944257;39908,662
insertion_v1_6_50000.csv;1489,85;39736,908;7,998;39797,053794;39744,906
insertion_v1_7_50000.csv;1145,0;31836,668;8,0;31890,511461;31844,668
insertion_v1_8_50000.csv;1047,38;31685,543;4,0;31733,847625;31689,543
insertion_v1_9_50000.csv;1066,43;31332,246;3,999;31377,232467;31336,245
